Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
294,Dirk Nowitzki,PF,22,DAL,82,82,3125,6.8,14.4,0.474,1.7,4.5,0.387,5.1,9.9,0.513,5.2,6.2,0.838,1.4,7.3,8.7,2,0.9,1.2,1.8,2.8,20.6
295,Doc Rivers,PG,30,LAC,59,25,1657,4.9,11.6,0.424,0.6,2,0.283,4.3,9.6,0.454,3.5,4.3,0.832,0.5,2.7,3.2,5.1,2.4,0.4,2,3.6,13.9
296,Dominic McGuire,SG,22,WAS,70,1,695,2,5.3,0.379,0.1,0.3,0.167,2,5,0.392,0.7,1.7,0.438,2.7,4.5,7.2,2.1,1,1.3,2.1,3.9,4.8
297,Dominique Wilkins*,SF,32,ATL,42,42,1601,9.5,20.6,0.464,0.8,2.9,0.289,8.7,17.7,0.492,6.6,7.9,0.835,2.3,4.3,6.6,3.6,1.2,0.5,2.7,1.7,26.5
298,Dominique Wilkins*,SF,37,SAS,63,26,1945,7.3,17.6,0.417,1.3,4.4,0.293,6.1,13.2,0.458,5.2,6.5,0.803,3.1,4.3,7.4,2.2,0.7,0.6,2.5,1.9,21.2
299,Don MacLean,SF,27,PHI,37,2,733,8,17.9,0.447,0.6,1.9,0.316,7.4,16.1,0.462,3.1,4.8,0.66,2,4.9,6.9,1.8,0.6,0.5,2.3,3.5,19.7
300,Don Reid,PF,23,DET,47,14,462,4.2,8.7,0.482,0,0.1,0,4.2,8.6,0.486,1.9,2.5,0.75,2.8,5.1,7.9,1.1,1.2,1.2,1.8,8.2,10.3
301,Don Reid,PF,27,ORL,65,7,764,3.9,6.8,0.566,0,0,,3.9,6.8,0.566,2.2,3.5,0.613,4,7.4,11.4,1,1.1,2.5,2.3,9,9.9
302,Donald Hodge,PF,22,DAL,51,27,1058,5.5,11.2,0.497,0,0,,5.5,11.2,0.497,3.4,5.1,0.667,4,5.3,9.4,1.3,0.9,0.8,2.6,4.4,14.5
303,Donald Royal,SF,30,CHH,25,2,320,2.4,4.5,0.525,0,0,,2.4,4.5,0.525,3.2,3.9,0.8,2,4.5,6.5,1.1,1.4,0.2,2.5,4.7,7.9
304,Donald Royal,SF,30,GSW,36,1,509,2.6,6.8,0.385,0,0.1,0,2.6,6.6,0.394,4.4,5.5,0.795,2.3,4.4,6.7,1,0.8,0.6,1.6,3.9,9.6
305,Donald Royal,SF,25,SAS,60,4,718,4,8.9,0.449,0,0,,4,8.9,0.449,4.6,6.7,0.692,3.3,3,6.2,1.7,1.3,0.4,2,3.7,12.6
306,Donald Royal,SF,30,TOT,62,4,858,2.6,6.1,0.425,0,0.1,0,2.6,6,0.431,3.9,4.9,0.803,2.2,4.3,6.5,1,1,0.5,2,4.2,9.1
307,Donald Sloan,SG,26,IND,48,1,392,4,10.7,0.376,0.9,3.9,0.238,3.1,6.9,0.453,1.1,1.8,0.6,0.4,3.7,4,4.6,0.9,0.1,2,1.7,10.1
308,Donald Whiteside,PG,27,TOR,27,1,259,2.5,7.6,0.327,1.7,5,0.333,0.8,2.6,0.316,1.5,2.1,0.733,0.3,1.4,1.7,5,1.5,0,2.4,3.2,8.2
309,Donatas Motiejunas,PF,23,HOU,62,3,952,5,11.2,0.443,0.8,3.2,0.25,4.2,8,0.519,2.2,3.6,0.604,2.3,6.2,8.5,1.3,0.8,0.8,1.9,5,12.9
310,Donnie Boyce,SG,23,ATL,22,2,154,4.9,14.7,0.333,0.5,3.7,0.125,4.4,11,0.404,2.6,5.1,0.5,1.6,1.9,3.5,3,2.3,0.9,3.7,4,12.9
311,Donny Marshall,SF,24,CLE,56,0,548,3.4,10.5,0.325,2.2,5.7,0.379,1.2,4.8,0.26,2.5,3.5,0.704,1.4,3.2,4.6,1.6,1.6,0.2,2.1,3.9,11.5
312,Dontonio Wingfield,SF,22,POR,47,0,569,5,12.2,0.409,1.6,4.9,0.338,3.4,7.3,0.457,1.7,2.5,0.675,4,4.7,8.7,2.8,0.9,0.4,3.1,6.4,13.3
313,Donyell Marshall,PF,34,TOT,26,1,340,3.4,10.4,0.327,1.6,5.6,0.283,1.8,4.8,0.378,2,2.3,0.864,2.5,5.5,8,1.1,0.6,1.7,1.6,3.3,10.4
314,Donyell Marshall,SF,23,GSW,61,20,1022,6.1,14.8,0.413,1.2,3.9,0.315,4.9,10.9,0.448,2.1,3.5,0.622,3.2,6.5,9.7,1.9,0.9,1.6,1.9,3.4,15.6
315,Donyell Marshall,SF,27,UTA,81,49,2326,6.6,13.1,0.503,0.6,2,0.32,6,11.2,0.535,3.2,4.2,0.751,2.7,6.1,8.8,2.1,1.3,1.2,2,3,17
316,Dorell Wright,SF,22,MIA,44,34,1104,4.7,9.6,0.488,0.1,0.4,0.364,4.5,9.2,0.493,1.9,2.3,0.826,1.6,5.6,7.2,2,0.9,1.3,0.9,2.6,11.3
317,Dorell Wright,SF,28,POR,68,13,984,4.1,10.9,0.374,2.5,7.4,0.342,1.5,3.5,0.442,1.9,2.5,0.754,1.1,5.9,7,2.3,0.8,0.6,1.4,2.3,12.5
318,Doron Lamb,SG,22,ORL,53,0,695,3.3,8.3,0.394,1.9,4.7,0.4,1.4,3.6,0.386,1.5,1.9,0.806,0.4,2.1,2.5,2.2,0.6,0.1,1.4,2.8,9.9
319,Doug Christie,SG,30,SAC,81,81,2939,3.8,9.7,0.395,1.2,3.1,0.376,2.7,6.6,0.403,3.4,3.8,0.897,1.2,3.2,4.3,3.5,2.2,0.6,1.9,2.7,12.2
320,Doug Christie,SG,26,TOR,81,81,3127,4.6,10.9,0.417,1.7,4.4,0.384,2.9,6.5,0.44,2.7,3.5,0.775,1,4,5,3.6,2.3,0.5,2.3,2.8,13.5
321,Doug Lee,SG,27,NJN,46,0,307,5.9,13.6,0.431,1.2,4.3,0.27,4.7,9.3,0.506,1.2,2.2,0.526,2,2.1,4.1,2.6,1.3,0.1,1.4,4.6,14.1
322,Doug Overton,PG,31,TOT,21,10,475,3.9,10.5,0.374,0.8,2.7,0.306,3.1,7.8,0.398,0.8,1.2,0.625,0.3,2.7,3,5.5,0.6,0,2.3,2.8,9.5
