Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
427,Felton Spencer,C,29,TOT,73,65,1558,3.2,6.6,0.489,0,0,,3.2,6.6,0.489,2.2,3.7,0.584,3.6,6,9.6,0.5,0.8,1.2,2,6.4,8.6
428,Francisco Elson,C,31,SEA,22,2,279,3.9,11.4,0.341,0,0.1,0,3.9,11.2,0.345,0.8,1.7,0.462,2.2,6.2,8.4,1,0.8,0.8,2.2,4.4,8.5
429,Francisco Elson,C,31,SAS,41,3,534,4.2,10,0.419,0,0,,4.2,10,0.419,1.3,1.6,0.833,2.2,6.9,9.1,1.1,0.6,0.9,2,4.2,9.7
430,Francisco Elson,C,31,TOT,63,5,813,4.1,10.5,0.39,0,0,0,4.1,10.4,0.391,1.2,1.6,0.703,2.2,6.6,8.9,1.1,0.7,0.9,2.1,4.3,9.3
431,Francisco Garcia,SF,32,HOU,55,4,1083,3.9,9.8,0.401,2.3,6.4,0.358,1.6,3.4,0.485,0.3,0.6,0.526,0.7,3.4,4.1,2.1,0.9,1.1,1,4,10.5
432,Francisco Garcia,SF,26,SAC,79,20,2096,6,12.9,0.463,1.9,5,0.391,4,8,0.508,2.8,3.6,0.779,0.9,3.6,4.5,2.2,1.6,0.9,2.2,4,16.7
433,Frank Brickowski,SF,32,MIL,65,60,1556,7.1,13.5,0.524,0.1,0.1,0.5,7,13.4,0.524,2.9,3.8,0.767,2.2,5.7,8,2.8,1.4,0.5,2.6,5.2,17.1
434,Fred Hoiberg,SG,24,IND,47,0,572,4.2,9.8,0.429,1.8,4.4,0.414,2.4,5.4,0.442,3.8,4.8,0.792,0.8,4.3,5.1,2.6,1.7,0.4,1.4,3.2,14.1
435,Fred Hoiberg,SG,28,CHI,74,37,2247,3.5,7.9,0.438,1.7,4,0.412,1.8,3.9,0.465,2.2,2.5,0.866,0.3,4.6,4.9,4.2,1.6,0.2,1.2,2.5,10.8
436,Fred Jones,SG,28,NYK,70,26,1757,3.7,8.9,0.421,1.5,3.9,0.385,2.2,4.9,0.45,1.9,2.6,0.746,0.6,2.9,3.5,3.4,1,0.4,1.6,2.9,10.9
437,Fred Roberts,PF,31,MIL,80,63,1746,6.4,13.3,0.482,0.4,0.8,0.514,6,12.5,0.48,2.6,3.5,0.749,2.1,3.2,5.3,2.5,1.1,0.8,2.5,3.6,15.9
438,Gal Mekel,PG,25,DAL,31,1,292,3.7,10.6,0.349,0.6,2.5,0.25,3.1,8.1,0.379,1,1.5,0.667,0.6,2.7,3.3,7.8,0.5,0.1,3.8,3.8,9
439,Garrett Temple,SG,27,WAS,75,0,638,2.9,8,0.362,0.3,1.6,0.207,2.5,6.3,0.402,1.7,2.4,0.698,1.2,2.7,3.8,4.1,2,0.6,2.4,4.1,7.8
440,Gary Grant,PG,31,MIA,28,0,365,3.8,10.8,0.355,1.4,4.5,0.304,2.5,6.3,0.391,1.8,2.2,0.818,0.8,3,3.7,4.4,1.6,0,2.7,3.8,10.8
441,Gary Grant,PG,26,LAC,78,53,2049,4.8,10.5,0.462,0.3,0.9,0.294,4.6,9.6,0.478,0.8,0.9,0.815,0.6,2.6,3.2,9.5,2.4,0.2,3.3,3.2,10.7
442,Gary Neal,SG,29,TOT,52,3,1114,6.2,15.2,0.41,2.2,5.8,0.378,4,9.4,0.43,3,3.4,0.895,0.3,2.6,2.9,2.7,0.6,0,2.1,2.1,17.7
443,Gary Payton*,PG,32,SEA,79,79,3244,8,17.7,0.456,1.1,3,0.375,6.9,14.6,0.472,3,3.9,0.766,0.8,3.2,4,7.1,1.4,0.3,2.3,2,20.2
444,Gary Payton*,PG,23,SEA,81,79,2549,4.7,10.4,0.451,0,0.3,0.13,4.6,10,0.461,1.4,2.1,0.669,1.7,2.4,4.2,7.1,2.1,0.3,2.5,3.5,10.8
445,Gary Payton*,PG,28,SEA,82,82,3213,7.9,16.6,0.476,1.3,4.3,0.313,6.6,12.3,0.533,2.8,4,0.715,1.2,3,4.2,6.5,2.2,0.1,2.4,2.3,20
446,Gary Trent,PF,26,DAL,33,4,319,6.4,14.7,0.438,0,0.1,0,6.4,14.6,0.442,2.1,4.1,0.528,4.4,6,10.4,1.1,1.5,0.9,2.5,5.9,15
447,Gary Trent,PF,22,POR,82,28,1918,6.8,12.7,0.536,0,0.2,0,6.8,12.4,0.544,3,4.3,0.699,2.9,5.1,8,1.6,0.9,0.7,2.4,3.5,16.6
448,George Hill,PG,27,IND,76,76,2434,4,9.1,0.442,1.4,3.8,0.365,2.6,5.3,0.497,2.1,2.6,0.807,0.8,3.4,4.2,3.9,1.1,0.3,1.4,2.3,11.6
449,George Lynch,SF,26,VAN,41,27,1059,4.7,9.9,0.471,0.3,1.1,0.258,4.4,8.8,0.496,2,3.3,0.619,3.3,5.5,8.9,2.6,2.1,0.6,2.2,3.3,11.6
450,George Lynch,SF,30,PHI,82,80,2649,3.7,8.4,0.445,0.2,0.8,0.263,3.5,7.6,0.463,1.7,2.3,0.719,2.7,5.3,8,1.9,1.3,0.4,1.5,3,9.3
451,George McCloud,SF,29,LAL,23,2,286,4.3,12.1,0.354,2.6,6.2,0.429,1.6,5.9,0.277,0.8,1.1,0.667,0.9,3.7,4.5,2.1,1.1,0,1.1,2.5,12
452,George McCloud,SF,29,DAL,41,26,1207,6.1,14.4,0.423,2.3,6.1,0.38,3.8,8.3,0.455,2.3,2.7,0.837,0.9,3.4,4.3,2.7,1.6,0.2,1.6,3.2,16.8
453,George McCloud,SF,24,IND,51,5,892,5.2,12.6,0.409,1.3,3.8,0.34,3.9,8.8,0.438,2,2.6,0.781,1.8,3.5,5.3,4.7,1,0.4,2.5,3.8,13.6
454,George McCloud,SF,29,TOT,64,28,1493,5.7,13.9,0.412,2.4,6.1,0.39,3.4,7.8,0.429,2,2.4,0.822,0.9,3.4,4.3,2.6,1.5,0.2,1.5,3,15.9
455,George McCloud,SF,33,DEN,76,8,2007,4.5,11.7,0.382,1.4,4.2,0.329,3.1,7.6,0.411,2.7,3.2,0.84,1,3,4,5,1,0.5,2.1,3,13.1
456,George Zidek,C,23,CHH,36,2,288,4.1,10.6,0.388,0,0.2,0,4.1,10.4,0.398,3.1,4,0.781,3.1,4.7,7.9,1.1,0.5,0.4,2.9,5.5,11.4
457,George Zidek,C,23,TOT,52,2,376,4.7,11.3,0.415,0,0.2,0,4.7,11.1,0.422,4.3,5.5,0.789,3.4,4.9,8.2,1.3,0.5,0.3,2.6,5.8,13.7
458,Gerald Glass,SF,24,MIN,75,41,1822,7.6,17.2,0.44,0.3,1.1,0.296,7.3,16.1,0.449,1.5,2.5,0.616,2.1,3,5.1,3.5,1.3,0.6,2,3.4,17
459,Gerald Green,SF,22,MIN,29,0,358,4.9,14.9,0.331,1.5,3.9,0.385,3.4,11,0.312,3.4,4.1,0.829,1.1,5.1,6.2,2.9,0.8,0.4,3.2,4.3,14.8
460,Gerald Green,SF,22,TOT,30,0,362,5.2,15,0.344,1.5,3.9,0.385,3.7,11.1,0.33,3.4,4.1,0.829,1.3,5.1,6.4,2.9,0.8,0.4,3.2,4.5,15.2
461,Gerald Green,SG,28,PHO,82,48,2330,6.9,15.5,0.445,3.2,7.9,0.4,3.8,7.7,0.492,3,3.6,0.848,0.7,3.5,4.2,1.9,1.1,0.6,2.2,3.4,20
462,Gerald Henderson,SG,26,CHA,77,77,2461,5.9,13.6,0.433,0.6,1.7,0.348,5.3,11.9,0.445,3.4,4.5,0.761,0.5,4.1,4.5,2.9,0.7,0.5,1.7,2.3,15.8
463,Gerald Wallace,SF,31,BOS,58,16,1416,2.9,5.8,0.504,0.5,1.6,0.297,2.5,4.2,0.584,1.2,2.6,0.465,0.9,4.5,5.4,3.6,1.9,0.4,2.5,2,7.6
464,Gerald Wallace,PF,25,CHA,62,59,2376,6.2,13.8,0.449,1.1,3.3,0.321,5.1,10.4,0.491,4.7,6.5,0.731,0.9,4.8,5.7,3.3,2,0.9,2.7,2.9,18.2
465,Gerald Wilkins,SG,33,ORL,80,26,2202,5.3,12.4,0.426,1.1,3.3,0.325,4.2,9.1,0.462,2.2,3.1,0.716,1,1.9,2.8,2.8,0.9,0.2,2,2.4,13.9
466,Gerald Wilkins,SG,28,NYK,82,82,2344,6.6,14.8,0.447,0.6,1.7,0.352,6,13.1,0.459,1.8,2.4,0.73,1.1,2,3.2,3.4,1.2,0.3,1.7,3,15.6
467,Gerard King,SF,28,WAS,45,3,706,4.6,9,0.511,0,0,,4.6,9,0.511,1.8,2.3,0.8,2,4.6,6.6,1.6,0.7,0.6,2.4,4.8,11
468,Gheorghe Muresan,C,25,WSB,73,69,1849,6.4,10.5,0.604,0,0,,6.4,10.5,0.604,2.4,3.9,0.618,2.7,6.6,9.4,0.6,0.8,1.9,2.3,4.5,15.1
469,Giannis Antetokounmpo,SF,19,MIL,77,23,1897,3.3,7.9,0.414,0.8,2.2,0.347,2.5,5.7,0.44,2.6,3.8,0.683,1.5,5,6.4,2.8,1.1,1.2,2.3,3.3,10
470,Glen Davis,PF,28,TOT,68,44,1662,5.9,12.8,0.457,0.1,0.2,0.364,5.8,12.6,0.459,2.1,3,0.693,2.3,5.3,7.6,1.7,1.3,0.6,1.6,3.4,13.9
471,Glen Davis,C,22,BOS,69,1,940,4.1,8.5,0.484,0,0,,4.1,8.5,0.484,3.8,5.7,0.66,3.6,4.3,8,1.1,1.2,0.8,2.5,6.1,12
472,Glen Rice,SF,33,NYK,75,25,2212,5.4,12.2,0.44,1.3,3.4,0.389,4.1,8.8,0.46,2.5,3,0.852,1,4,5,1.4,0.7,0.2,1.6,2.9,14.6
473,Glen Rice,SF,29,CHH,79,78,3362,7.7,16.2,0.477,2.2,4.7,0.47,5.5,11.5,0.48,5,5.7,0.867,0.7,2.7,3.4,1.7,0.8,0.3,1.9,2,22.6
474,Glen Rice,SF,24,MIA,79,79,3007,8,17.1,0.469,1.9,4.7,0.391,6.2,12.4,0.499,3.2,3.8,0.836,1,3.7,4.7,2.2,1.1,0.4,1.7,2,21.1
475,Glenn Robinson,SF,28,MIL,76,74,2813,8.8,18.7,0.468,0.7,2.4,0.299,8,16.3,0.493,3.2,3.9,0.82,1.6,5.1,6.7,3.2,1.1,0.8,2.8,2.4,21.4
476,Glenn Robinson,SF,24,MIL,80,79,3114,7.7,16.6,0.465,0.7,2.1,0.35,7,14.5,0.482,3.3,4.2,0.791,1.5,4.3,5.8,2.9,1.2,0.8,3.1,2.6,19.5
477,Goran Dragic,SG,27,PHO,76,75,2668,7.4,14.7,0.505,1.6,4,0.408,5.8,10.7,0.542,4.3,5.6,0.76,0.9,2.4,3.3,6,1.4,0.3,2.9,2.8,20.8
478,Gordan Giricek,SG,30,UTA,22,0,279,5.3,13.2,0.402,1.5,4.4,0.353,3.7,8.8,0.426,0.1,0.1,1,0.8,3.2,4,2.1,1.7,0.1,2.7,3.1,12.3
479,Gordan Giricek,SG,30,PHO,22,0,442,6.4,13,0.497,1.5,4.1,0.38,4.9,8.9,0.55,1.3,1.4,0.941,0.7,3.4,4.2,2.9,0.7,0.2,1.9,4,15.7
480,Gordan Giricek,SG,30,TOT,56,0,831,5.8,13.1,0.44,1.6,4.3,0.364,4.2,8.8,0.478,1,1.1,0.885,0.7,3.5,4.2,2.7,1,0.2,2.3,3.6,14.1
481,Gordon Hayward,SF,23,UTA,77,77,2800,5.5,13.3,0.413,1.1,3.6,0.304,4.4,9.7,0.453,4,4.9,0.816,0.8,4.2,5,5.1,1.4,0.5,2.7,2,16
482,Gorgui Dieng,C,24,MIN,60,15,818,5,10,0.498,0,0,1,4.9,9.9,0.496,2.6,4.1,0.634,4.5,8.7,13.2,1.7,1.3,2.2,2.4,4.8,12.6
483,Grant Hill,SF,35,PHO,70,68,2222,5.8,11.5,0.503,0.5,1.7,0.317,5.3,9.9,0.535,2.8,3.2,0.867,1.2,4.5,5.7,3.3,1.1,0.9,1.6,2.5,14.9
484,Grant Hill,SF,24,DET,80,80,3147,7.1,14.4,0.496,0.1,0.4,0.303,7,14,0.502,5.1,7.2,0.711,1.4,6.8,8.2,6.7,1.6,0.5,3,2.1,19.6
485,Grant Long,PF,30,DET,65,24,1166,3.8,8.5,0.447,0.5,1.5,0.362,3.3,7,0.465,1.9,2.6,0.75,2.7,4.1,6.9,1.2,1.3,0.2,1.5,3.3,10.1
486,Grant Long,PF,34,VAN,66,27,1507,3.3,7.6,0.439,0.1,0.4,0.267,3.2,7.3,0.447,2.7,3.8,0.713,1.8,4.7,6.5,2,1.7,0.4,1.5,3.8,9.5
487,Grant Long,PF,25,MIA,82,82,3063,5.2,10.5,0.494,0.1,0.3,0.273,5.1,10.2,0.5,3.8,4.7,0.807,3,5.1,8.1,2.6,1.6,0.5,2.2,2.9,14.2
488,Greg Anderson,C,32,SAS,82,48,1659,2.8,5.7,0.496,0,0,0,2.8,5.7,0.498,1.3,2,0.667,3.4,6.3,9.7,0.7,1.4,1.5,1.6,4.9,7
489,Greg Anderson,PF,27,DEN,82,82,2793,5,11,0.456,0,0.1,0,5,11,0.458,2.2,3.5,0.623,4.3,7.8,12.1,1,1.1,0.8,2.6,3.4,12.2
490,Greg Anthony,PG,33,POR,58,0,856,4.1,10.6,0.383,2.7,6.7,0.409,1.3,4,0.34,1,1.5,0.657,0.9,1.7,2.6,3.4,1.7,0.1,1.8,2.6,11.9
491,Greg Anthony,PG,29,VAN,65,44,1863,3.8,9.8,0.393,1.7,4.6,0.37,2.1,5.2,0.413,2.5,3.4,0.73,0.5,3.1,3.6,7.9,2.5,0.1,2.5,2.4,11.9
492,Greg Anthony,PG,24,NYK,82,1,1510,3.8,10.4,0.37,0.2,1.3,0.145,3.6,9.1,0.403,2.8,3.8,0.741,0.8,2.5,3.2,7.5,1.4,0.2,2.3,4.1,10.7
493,Greg Buckner,SG,31,MIN,31,4,520,3.1,8.1,0.385,1,3.5,0.3,2.1,4.6,0.448,1.3,1.5,0.864,0.7,3.8,4.5,2.7,1.5,0.1,2,4.4,8.6
494,Greg Buckner,SG,24,DAL,37,9,820,3.7,8.4,0.438,0.1,0.3,0.286,3.6,8.1,0.443,2.6,3.6,0.728,2.6,4.3,6.9,2.2,1.4,0.4,1.2,5.2,10.1
495,Greg Dreiling,C,34,DAL,40,3,389,3.1,6.8,0.459,0.1,0.1,1,3.1,6.8,0.452,1,2.5,0.407,1.8,5.3,7,1,0.7,0.6,0.8,6,7.4
496,Greg Dreiling,C,29,IND,60,23,509,3,6.2,0.494,0.1,0.1,1,3,6.1,0.488,2.1,2.8,0.75,1.6,5.2,6.8,1.8,0.7,1.1,2.2,8.7,8.3
497,Greg Foster,PF,23,WSB,49,3,548,5.8,12.7,0.461,0,0.1,0,5.8,12.6,0.464,2.3,3.2,0.714,2.8,6.7,9.5,2.3,0.4,0.8,2.4,5.5,14
498,Greg Foster,C,32,LAL,62,8,451,4.5,10.6,0.421,0.2,0.7,0.333,4.2,9.9,0.427,0.8,1.1,0.714,2.3,6.6,8.9,2.6,0.7,1,2,6.1,10
499,Greg Foster,C,28,UTA,79,12,920,4.3,9.6,0.453,0.1,0.1,0.667,4.3,9.5,0.45,2.1,2.5,0.831,2.2,5.1,7.3,1.2,0.4,0.8,2.1,5.7,10.9
500,Greg Graham,SG,26,SEA,28,0,197,5.3,14.6,0.363,1.6,5.7,0.29,3.7,9,0.408,4.8,7.3,0.65,0.4,2,2.4,2,2.2,0.2,1.8,2.2,17
501,Greg Grant,PG,25,PHI,55,0,834,4.3,9.4,0.456,0.3,0.8,0.389,4,8.6,0.462,0.8,0.9,0.864,0.6,2.2,2.8,8.6,1.6,0.1,1.8,3.2,9.7
502,Greg Grant,PG,25,TOT,68,0,891,4,9.1,0.44,0.3,0.7,0.389,3.7,8.4,0.444,0.8,1,0.833,0.6,2.2,2.8,8.8,1.8,0.1,1.9,3.1,9.1
503,Greg Kite,C,30,ORL,72,44,1479,2.3,5.2,0.437,0,0,0,2.3,5.2,0.439,1,1.7,0.588,3.8,6,9.8,1.1,0.7,1.4,1.5,5.2,5.5
504,Greg Minor,SF,25,BOS,23,15,547,6.2,12.9,0.48,0.1,0.5,0.125,6.1,12.4,0.495,2,2.4,0.861,2,3.3,5.3,2.2,1,0.1,1.4,3,14.5
505,Greg Monroe,PF,23,DET,82,82,2690,6.7,13.6,0.497,0,0,0,6.7,13.6,0.497,3.2,4.9,0.657,3.4,6.7,10.2,2.3,1.2,0.6,2.2,2.7,16.7
506,Greg Oden,C,26,MIA,23,6,212,4.6,8.3,0.551,0,0,,4.6,8.3,0.551,2.2,3.9,0.565,3.9,5.3,9.2,0.2,1.2,2.2,2,8.8,11.4
507,Greg Ostertag,C,23,UTA,77,70,1818,4.2,8.1,0.515,0,0.1,0,4.2,8,0.52,2.8,4.1,0.678,3.6,7.6,11.2,0.5,0.5,3,1.5,4.6,11.1
508,Greg Ostertag,C,27,UTA,81,3,1491,3.4,6.8,0.495,0,0,0.5,3.3,6.7,0.495,2,3.6,0.556,4,6.1,10,0.5,0.5,3.4,1.5,5.2,8.8
509,Greg Stiemsma,C,28,NOP,55,20,1007,2.5,4.4,0.574,0,0,0,2.5,4.3,0.579,0.7,1.1,0.594,2.6,5.5,8.1,1.3,1.3,2,1.6,6,5.7
510,Greg Sutton,PG,24,SAS,67,2,601,5.6,14.4,0.388,1.6,5.3,0.292,4,9,0.444,2,2.7,0.756,0.4,2.5,2.8,5.5,1.6,0.5,4.2,6.6,14.7
511,Greivis Vasquez,SG-PG,27,TOT,79,23,1779,5.6,13.3,0.421,2.2,5.8,0.377,3.4,7.5,0.455,1.9,2.2,0.88,0.4,3.1,3.5,6.5,0.6,0.1,2.6,2.9,15.3
512,Gustavo Ayon,C,28,ATL,26,14,429,4.4,8.6,0.51,0,0,,4.4,8.6,0.51,0.7,1.7,0.4,3.5,7,10.5,2.3,2.1,0.8,2.4,3.9,9.4
513,Hakeem Olajuwon*,C,38,HOU,58,55,1545,6.6,13.2,0.498,0,0,0,6.6,13.2,0.499,2.9,4.6,0.621,2.9,7.2,10,1.7,1.6,2.1,1.9,3.3,16.1
514,Hakeem Olajuwon*,C,29,HOU,70,69,2636,8.1,16.1,0.502,0,0,0,8.1,16.1,0.503,4.5,5.8,0.766,3.4,8.2,11.5,2.1,1.7,4.2,2.6,3.6,20.6
515,Hakeem Olajuwon*,C,34,HOU,78,78,2852,9.2,18,0.51,0.1,0.2,0.313,9.1,17.8,0.512,4.4,5.6,0.787,2.2,6.9,9,3,1.5,2.2,3.5,3.1,22.8
516,Hakim Warrick,PF,25,MEM,75,30,1754,6.7,13.4,0.502,0.3,1,0.271,6.5,12.4,0.521,3.8,5.3,0.704,2.5,4.8,7.3,1.1,0.7,0.6,1.7,3.2,17.5
517,Hanno Mottola,SF,24,ATL,73,3,989,4.5,10.1,0.444,0,0.1,0,4.5,10,0.449,2.7,3.3,0.811,1.8,4.6,6.3,0.9,0.4,0.3,2.4,5.9,11.6
518,Harrison Barnes,SF,21,GSW,78,24,2204,4.4,11.1,0.399,1.1,3.1,0.347,3.3,8,0.419,2.1,3,0.718,1.1,4,5.1,1.9,1.1,0.3,1.4,2.6,12.1
519,Harvey Grant,SF,26,WSB,64,60,2388,7.4,15.4,0.478,0,0.1,0.125,7.4,15.3,0.481,2.7,3.3,0.8,2.4,4.1,6.5,2.6,1.1,0.4,1.6,2.7,17.4
520,Harvey Grant,PF,31,WSB,78,25,1604,2.9,7,0.411,0.6,2,0.315,2.3,5,0.449,0.7,0.9,0.769,1.4,4.3,5.7,1.5,1,1.1,0.7,3.7,7.1
521,Hasheem Thabeet,C,26,OKC,23,0,192,2.4,4.3,0.565,0,0,,2.4,4.3,0.565,0.2,0.9,0.2,1.7,5.8,7.5,0.2,0.7,1.7,2.6,8.8,5.1
522,Hedo Turkoglu,SF,34,LAC,38,0,392,3.9,10,0.385,2,4.6,0.44,1.8,5.4,0.339,0.8,1.7,0.5,1,7.2,8.2,3,1.7,0.9,1.5,4.6,10.6
523,Hedo Turkoglu,SF,21,SAC,74,7,1245,4,9.7,0.412,0.8,2.5,0.326,3.2,7.2,0.442,2.5,3.2,0.777,1.4,4.7,6.1,2,1.5,0.7,1.6,4,11.3
524,Hedo Turkoglu,SF,28,ORL,82,82,3026,6.6,14.5,0.456,2,4.9,0.4,4.6,9.6,0.485,3.9,4.7,0.829,1,4.6,5.6,4.9,0.9,0.3,2.9,2.9,19.1
525,Henry James,PF,31,ATL,53,15,945,4.8,11.7,0.408,2.9,6.9,0.42,1.9,4.8,0.392,1.1,1.4,0.833,1,2.1,3.1,0.8,0.4,0,1.1,3.7,13.6
526,Henry James,SF,26,CLE,65,5,866,6.8,16.8,0.407,1.2,3.7,0.322,5.6,13,0.431,2.5,3.2,0.803,1.5,3.2,4.7,1,0.7,0.5,1.8,3.9,17.4
527,Henry Sims,C,23,TOT,46,25,875,5.3,11.3,0.474,0,0,0,5.3,11.2,0.476,3.7,5,0.744,4.3,5.5,9.8,2.1,1.2,0.8,1.7,4.8,14.4
528,Herb Williams,PF,38,NYK,21,2,184,3.5,9,0.391,0,0.2,0,3.5,8.8,0.4,0.6,0.8,0.75,1.8,4.3,6.1,1,0.8,1,1,3.5,7.6
529,Herb Williams,C,33,DAL,75,26,2040,6.5,15,0.431,0,0.1,0.167,6.5,14.9,0.433,2.2,3,0.725,1.9,6.1,8,1.7,0.6,1.7,2,3.3,15.2
530,Hersey Hawkins,SG,34,CHH,59,0,681,3,7.2,0.409,0.9,2.4,0.37,2.1,4.8,0.429,2.9,3.3,0.857,0.9,3.3,4.2,3.8,1.7,0.5,1,2.4,9.7
531,Hersey Hawkins,SG,25,PHI,81,81,3013,6.2,13.5,0.462,1.1,2.7,0.397,5.1,10.7,0.479,4.8,5.5,0.874,0.6,2.6,3.2,3,1.9,0.5,2.3,2.1,18.4
532,Hersey Hawkins,SG,30,SEA,82,82,2755,4.8,10.4,0.464,1.9,4.6,0.403,3,5.7,0.514,3.4,3.9,0.875,1.2,3,4.2,3.3,2.1,0.2,1.7,1.9,14.9
533,Hilton Armstrong,C,23,NOH,65,3,732,3.3,7.3,0.453,0,0,,3.3,7.3,0.453,2.2,3.4,0.629,3.2,4.8,8,1.1,0.7,1.7,2.9,6.4,8.8
534,Hollis Thompson,SF,22,PHI,77,41,1742,3.5,7.7,0.46,1.4,3.5,0.401,2.1,4.2,0.507,1.1,1.5,0.712,1.5,3.6,5.1,1.5,1.1,0.2,1.2,3,9.5
535,Horace Grant,PF,31,ORL,67,67,2496,5.2,10,0.515,0,0.1,0.167,5.1,9.9,0.518,1.8,2.6,0.715,3,5.7,8.7,2.4,1.5,0.9,1.4,2.3,12.2
536,Horace Grant,PF,35,LAL,77,77,2390,4,8.6,0.462,0,0,0,4,8.5,0.465,2,2.5,0.775,3.3,4.9,8.2,1.8,0.8,0.9,0.7,2.7,9.9
537,Horace Grant,PF,26,CHI,81,81,2859,5.8,9.9,0.578,0,0,0,5.8,9.9,0.58,3,4,0.741,4.3,5.8,10.2,2.7,1.3,1.6,1.2,2.5,14.5
538,Horacio Llamas Grey,C,23,PHO,20,2,101,5.3,10,0.536,0,0,,5.3,10,0.536,1.4,2.9,0.5,1.4,5,6.4,1.4,3.6,1.8,3.9,8.9,12.1
539,Hot Rod Williams,C,34,PHO,68,66,2137,3.4,7,0.49,0,0,0,3.4,7,0.493,2.2,3.3,0.672,3,6.5,9.5,1.7,1.1,1.5,1.1,3,9.1
540,Hot Rod Williams,C,29,CLE,80,12,2432,5,10,0.503,0,0.1,0,5,10,0.506,4,5.3,0.752,3.4,5.6,9,2.9,0.9,2.7,1.2,2.8,14.1
541,Howard Eisley,SG,28,DAL,82,40,2426,3.9,10,0.393,1.6,4,0.398,2.3,6,0.389,1.5,1.9,0.825,0.3,2.6,2.9,4.4,1.5,0.2,1.5,3.2,11
542,Howard Eisley,PG,24,UTA,82,0,1083,4.6,10.2,0.451,0.7,2.4,0.278,4,7.8,0.504,2.3,3,0.787,0.7,2.1,2.8,6.6,1.5,0.3,3.7,4.7,12.2
543,Hubert Davis,SG,26,TOR,36,0,623,4.3,10.6,0.402,0.9,4,0.229,3.4,6.6,0.509,1,1.3,0.739,0.6,1.7,2.3,2,0.6,0.1,1.2,2.3,10.5
544,Hubert Davis,PG,30,DAL,51,7,1261,4,9,0.443,1.7,3.8,0.436,2.3,5.2,0.448,1,1.2,0.854,0.5,2.6,3.1,1.7,0.8,0,1.6,2.6,10.6
545,Hubert Davis,PG,30,TOT,66,18,1692,4.2,9.2,0.453,1.7,3.6,0.456,2.5,5.6,0.45,1.1,1.3,0.871,0.6,2.4,3,2.3,0.7,0,1.7,2.6,11.1
546,Ian Clark,SG,22,UTA,23,0,172,5.4,14,0.388,2.3,6.5,0.355,3.1,7.5,0.417,1,1.5,0.714,0.6,3.3,4,3.1,1.7,0.4,2.9,5,14.2
547,Ian Mahinmi,C,27,IND,77,1,1248,2.6,5.5,0.481,0,0,0,2.6,5.4,0.484,2.6,4.2,0.621,3.1,4.3,7.4,0.7,1.2,2.1,1.7,6,7.8
548,Ike Diogu,PF,24,IND,30,1,305,7.6,15.8,0.478,0,0,,7.6,15.8,0.478,4.7,5.5,0.851,4.5,5.5,10,1.2,0.8,0.4,2.4,5.1,19.8
549,Iman Shumpert,SG,23,NYK,74,58,1962,3.4,8.9,0.378,1.4,4.2,0.333,2,4.7,0.418,1,1.3,0.746,1.5,4.2,5.7,2.4,1.7,0.2,1.4,3.8,9.1
550,Ime Udoka,PF,30,SAS,73,0,1316,4.3,10.3,0.424,1.7,4.5,0.37,2.7,5.7,0.467,1.2,1.6,0.759,1,5.3,6.2,1.7,1.5,0.5,1.6,3.5,11.6
551,Ira Newble,SF,26,SAS,27,6,184,4.1,10.8,0.382,0.8,1.8,0.444,3.3,9,0.37,1.6,3.1,0.5,2.5,4.3,6.8,1.2,0.4,0.8,1.4,3.5,10.6
552,Ira Newble,SG,33,CLE,41,13,650,3.9,8.8,0.449,0.8,2.5,0.333,3.1,6.3,0.496,1.1,1.4,0.769,2.3,4,6.3,0.8,1.5,0.4,1.7,3.5,9.8
553,Ira Newble,SG-SF,33,TOT,49,13,698,3.9,9,0.437,0.8,2.5,0.327,3.1,6.4,0.48,1,1.3,0.769,2.4,4,6.4,0.9,1.4,0.4,1.8,3.6,9.7
554,Isaac Austin,C,22,UTA,31,0,112,6.8,14.8,0.457,0,0,,6.8,14.8,0.457,6.1,9.6,0.633,3.5,7.7,11.3,1.6,0.6,0.6,2.6,6.4,19.6
555,Isaac Austin,C,31,VAN,52,16,845,4.1,11.5,0.356,0.3,1,0.25,3.8,10.5,0.366,1.2,1.7,0.7,2.1,7.3,9.5,2.5,0.9,1,2.3,4,9.6
556,Isaac Austin,C,27,MIA,82,17,1881,6.1,12.2,0.502,0,0.1,0,6.1,12.2,0.505,2.9,4.3,0.664,2.6,6.5,9.1,1.9,0.9,0.8,3.1,4.7,15.2
557,Isaiah Canaan,PG,22,HOU,22,0,252,4.4,12.4,0.356,2.6,7.9,0.327,1.9,4.6,0.406,3,4.1,0.724,1,2.4,3.4,3.1,1.1,0.6,3,3.6,14.4
558,Isaiah Rider,SG,29,LAL,67,6,1206,6,14.1,0.426,1,2.7,0.37,5,11.3,0.439,2.1,2.5,0.855,1.3,3.3,4.7,3.3,0.8,0.2,2.9,3.1,15.1
559,Isaiah Rider,SG,25,POR,76,68,2563,6.4,13.8,0.464,1.4,3.6,0.385,5,10.2,0.492,3,3.7,0.812,1.3,2.9,4.3,2.8,0.6,0.3,3,2.8,17.2
